,Rating,Description,no_contract,rating_description_str,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
276,3,"Camera is not 48 mp,but low buget phone.","['Camera', 'is', 'not', '48', 'mp,but', 'low', 'buget', 'phone.']","Camera is not 48 mp,but low buget phone.","['Camera', 'is', 'not', '48', 'mp', ',', 'but', 'low', 'buget', 'phone', '.']","['camera', 'is', 'not', '48', 'mp', ',', 'but', 'low', 'buget', 'phone', '.']","['camera', 'is', 'not', '48', 'mp', 'but', 'low', 'buget', 'phone']","['camera', '48', 'mp', 'low', 'buget', 'phone']","[('camera', 'NN'), ('48', 'CD'), ('mp', 'NN'), ('low', 'JJ'), ('buget', 'NN'), ('phone', 'NN')]","[('camera', 'n'), ('48', 'n'), ('mp', 'n'), ('low', 'a'), ('buget', 'n'), ('phone', 'n')]","['camera', '48', 'mp', 'low', 'buget', 'phone']"
277,5,Nice mobile,"['Nice', 'mobile']",Nice mobile,"['Nice', 'mobile']","['nice', 'mobile']","['nice', 'mobile']","['nice', 'mobile']","[('nice', 'RB'), ('mobile', 'NN')]","[('nice', 'r'), ('mobile', 'n')]","['nice', 'mobile']"
278,5,Good,['Good'],Good,['Good'],['good'],['good'],['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
279,2,just ok infinix note 7 mobile,"['just', 'ok', 'infinix', 'note', '7', 'mobile']",just ok infinix note 7 mobile,"['just', 'ok', 'infinix', 'note', '7', 'mobile']","['just', 'ok', 'infinix', 'note', '7', 'mobile']","['just', 'ok', 'infinix', 'note', '7', 'mobile']","['ok', 'infinix', 'note', '7', 'mobile']","[('ok', 'JJ'), ('infinix', 'JJ'), ('note', 'NN'), ('7', 'CD'), ('mobile', 'NN')]","[('ok', 'a'), ('infinix', 'a'), ('note', 'n'), ('7', 'n'), ('mobile', 'n')]","['ok', 'infinix', 'note', '7', 'mobile']"
280,5,Good,['Good'],Good,['Good'],['good'],['good'],['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
281,2,Very bad product,"['Very', 'bad', 'product']",Very bad product,"['Very', 'bad', 'product']","['very', 'bad', 'product']","['very', 'bad', 'product']","['bad', 'product']","[('bad', 'JJ'), ('product', 'NN')]","[('bad', 'a'), ('product', 'n')]","['bad', 'product']"
282,5,"Good product, value money","['Good', 'product,', 'value', 'money']","Good product, value money","['Good', 'product', ',', 'value', 'money']","['good', 'product', ',', 'value', 'money']","['good', 'product', 'value', 'money']","['good', 'product', 'value', 'money']","[('good', 'JJ'), ('product', 'NN'), ('value', 'NN'), ('money', 'NN')]","[('good', 'a'), ('product', 'n'), ('value', 'n'), ('money', 'n')]","['good', 'product', 'value', 'money']"
283,5,Good,['Good'],Good,['Good'],['good'],['good'],['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
284,1,Don't bye this mobile it's over heating while charging better go onther one,"['do not', 'bye', 'this', 'mobile', 'it is', 'over', 'heating', 'while', 'charging', 'better', 'go', 'onther', 'one']",do not bye this mobile it is over heating while charging better go onther one,"['do', 'not', 'bye', 'this', 'mobile', 'it', 'is', 'over', 'heating', 'while', 'charging', 'better', 'go', 'onther', 'one']","['do', 'not', 'bye', 'this', 'mobile', 'it', 'is', 'over', 'heating', 'while', 'charging', 'better', 'go', 'onther', 'one']","['do', 'not', 'bye', 'this', 'mobile', 'it', 'is', 'over', 'heating', 'while', 'charging', 'better', 'go', 'onther', 'one']","['bye', 'mobile', 'heating', 'charging', 'better', 'go', 'onther', 'one']","[('bye', 'NN'), ('mobile', 'JJ'), ('heating', 'VBG'), ('charging', 'VBG'), ('better', 'RB'), ('go', 'VB'), ('onther', 'RB'), ('one', 'CD')]","[('bye', 'n'), ('mobile', 'a'), ('heating', 'v'), ('charging', 'v'), ('better', 'r'), ('go', 'v'), ('onther', 'r'), ('one', 'n')]","['bye', 'mobile', 'heat', 'charge', 'well', 'go', 'onther', 'one']"
285,3,Good features good phone but battery is not up to the mark draining fast and overheating on using only 10 -minits,"['Good', 'features', 'good', 'phone', 'but', 'battery', 'is', 'not', 'up', 'to', 'the', 'mark', 'draining', 'fast', 'and', 'overheating', 'on', 'using', 'only', '10', '-minits']",Good features good phone but battery is not up to the mark draining fast and overheating on using only 10 -minits,"['Good', 'features', 'good', 'phone', 'but', 'battery', 'is', 'not', 'up', 'to', 'the', 'mark', 'draining', 'fast', 'and', 'overheating', 'on', 'using', 'only', '10', '-minits']","['good', 'features', 'good', 'phone', 'but', 'battery', 'is', 'not', 'up', 'to', 'the', 'mark', 'draining', 'fast', 'and', 'overheating', 'on', 'using', 'only', '10', '-minits']","['good', 'features', 'good', 'phone', 'but', 'battery', 'is', 'not', 'up', 'to', 'the', 'mark', 'draining', 'fast', 'and', 'overheating', 'on', 'using', 'only', '10', '-minits']","['good', 'features', 'good', 'phone', 'battery', 'mark', 'draining', 'fast', 'overheating', 'using', '10', '-minits']","[('good', 'JJ'), ('features', 'NNS'), ('good', 'JJ'), ('phone', 'NN'), ('battery', 'NN'), ('mark', 'NN'), ('draining', 'VBG'), ('fast', 'RB'), ('overheating', 'VBG'), ('using', 'VBG'), ('10', 'CD'), ('-minits', 'NNS')]","[('good', 'a'), ('features', 'n'), ('good', 'a'), ('phone', 'n'), ('battery', 'n'), ('mark', 'n'), ('draining', 'v'), ('fast', 'r'), ('overheating', 'v'), ('using', 'v'), ('10', 'n'), ('-minits', 'n')]","['good', 'feature', 'good', 'phone', 'battery', 'mark', 'drain', 'fast', 'overheat', 'use', '10', '-minits']"
286,5,Good,['Good'],Good,['Good'],['good'],['good'],['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
287,5,Superb,['Superb'],Superb,['Superb'],['superb'],['superb'],['superb'],"[('superb', 'NN')]","[('superb', 'n')]",['superb']
288,5,Super,['Super'],Super,['Super'],['super'],['super'],['super'],"[('super', 'NN')]","[('super', 'n')]",['super']
289,4,Wow this mobile performance is so good. I like the mobile . 😀😀,"['Wow', 'this', 'mobile', 'performance', 'is', 'so', 'good.', 'I', 'like', 'the', 'mobile', '.', '😀😀']",Wow this mobile performance is so good. I like the mobile . 😀😀,"['Wow', 'this', 'mobile', 'performance', 'is', 'so', 'good', '.', 'I', 'like', 'the', 'mobile', '.', '😀😀']","['wow', 'this', 'mobile', 'performance', 'is', 'so', 'good', '.', 'i', 'like', 'the', 'mobile', '.', '😀😀']","['wow', 'this', 'mobile', 'performance', 'is', 'so', 'good', 'i', 'like', 'the', 'mobile', '😀😀']","['wow', 'mobile', 'performance', 'good', 'like', 'mobile', '😀😀']","[('wow', 'NN'), ('mobile', 'JJ'), ('performance', 'NN'), ('good', 'JJ'), ('like', 'IN'), ('mobile', 'JJ'), ('😀😀', 'NN')]","[('wow', 'n'), ('mobile', 'a'), ('performance', 'n'), ('good', 'a'), ('like', 'n'), ('mobile', 'a'), ('😀😀', 'n')]","['wow', 'mobile', 'performance', 'good', 'like', 'mobile', '😀😀']"
290,5,Value for money,"['Value', 'for', 'money']",Value for money,"['Value', 'for', 'money']","['value', 'for', 'money']","['value', 'for', 'money']","['value', 'money']","[('value', 'NN'), ('money', 'NN')]","[('value', 'n'), ('money', 'n')]","['value', 'money']"
291,5,Very high performance phone with huge screen and monster battery,"['Very', 'high', 'performance', 'phone', 'with', 'huge', 'screen', 'and', 'monster', 'battery']",Very high performance phone with huge screen and monster battery,"['Very', 'high', 'performance', 'phone', 'with', 'huge', 'screen', 'and', 'monster', 'battery']","['very', 'high', 'performance', 'phone', 'with', 'huge', 'screen', 'and', 'monster', 'battery']","['very', 'high', 'performance', 'phone', 'with', 'huge', 'screen', 'and', 'monster', 'battery']","['high', 'performance', 'phone', 'huge', 'screen', 'monster', 'battery']","[('high', 'JJ'), ('performance', 'NN'), ('phone', 'NN'), ('huge', 'JJ'), ('screen', 'NN'), ('monster', 'NN'), ('battery', 'NN')]","[('high', 'a'), ('performance', 'n'), ('phone', 'n'), ('huge', 'a'), ('screen', 'n'), ('monster', 'n'), ('battery', 'n')]","['high', 'performance', 'phone', 'huge', 'screen', 'monster', 'battery']"
292,4,Overall performance is OK but it consumes lots of data,"['Overall', 'performance', 'is', 'OK', 'but', 'it', 'consumes', 'lots', 'of', 'data']",Overall performance is OK but it consumes lots of data,"['Overall', 'performance', 'is', 'OK', 'but', 'it', 'consumes', 'lots', 'of', 'data']","['overall', 'performance', 'is', 'ok', 'but', 'it', 'consumes', 'lots', 'of', 'data']","['overall', 'performance', 'is', 'ok', 'but', 'it', 'consumes', 'lots', 'of', 'data']","['overall', 'performance', 'ok', 'consumes', 'lots', 'data']","[('overall', 'JJ'), ('performance', 'NN'), ('ok', 'NN'), ('consumes', 'NNS'), ('lots', 'NNS'), ('data', 'NNS')]","[('overall', 'a'), ('performance', 'n'), ('ok', 'n'), ('consumes', 'n'), ('lots', 'n'), ('data', 'n')]","['overall', 'performance', 'ok', 'consumes', 'lot', 'data']"
293,5,Awesome mobile and very attractive design !!,"['Awesome', 'mobile', 'and', 'very', 'attractive', 'design', '!!']",Awesome mobile and very attractive design !!,"['Awesome', 'mobile', 'and', 'very', 'attractive', 'design', '!', '!']","['awesome', 'mobile', 'and', 'very', 'attractive', 'design', '!', '!']","['awesome', 'mobile', 'and', 'very', 'attractive', 'design']","['awesome', 'mobile', 'attractive', 'design']","[('awesome', 'RB'), ('mobile', 'JJ'), ('attractive', 'JJ'), ('design', 'NN')]","[('awesome', 'r'), ('mobile', 'a'), ('attractive', 'a'), ('design', 'n')]","['awesome', 'mobile', 'attractive', 'design']"
294,5,Normal phone,"['Normal', 'phone']",Normal phone,"['Normal', 'phone']","['normal', 'phone']","['normal', 'phone']","['normal', 'phone']","[('normal', 'JJ'), ('phone', 'NN')]","[('normal', 'a'), ('phone', 'n')]","['normal', 'phone']"
295,4,nice product,"['nice', 'product']",nice product,"['nice', 'product']","['nice', 'product']","['nice', 'product']","['nice', 'product']","[('nice', 'JJ'), ('product', 'NN')]","[('nice', 'a'), ('product', 'n')]","['nice', 'product']"
296,4,"Device is overall solid, smooth experience, amazing UI; just a little bigger for some people's taste. For e-book readers (like myself), its an awesome grab.","['Device', 'is', 'overall', 'solid,', 'smooth', 'experience,', 'amazing', 'UI;', 'just', 'a', 'little', 'bigger', 'for', 'some', ""people's"", 'taste.', 'For', 'e-book', 'readers', '(like', 'myself),', 'its', 'an', 'awesome', 'grab.']","Device is overall solid, smooth experience, amazing UI; just a little bigger for some people's taste. For e-book readers (like myself), its an awesome grab.","['Device', 'is', 'overall', 'solid', ',', 'smooth', 'experience', ',', 'amazing', 'UI', ';', 'just', 'a', 'little', 'bigger', 'for', 'some', 'people', ""'s"", 'taste', '.', 'For', 'e-book', 'readers', '(', 'like', 'myself', ')', ',', 'its', 'an', 'awesome', 'grab', '.']","['device', 'is', 'overall', 'solid', ',', 'smooth', 'experience', ',', 'amazing', 'ui', ';', 'just', 'a', 'little', 'bigger', 'for', 'some', 'people', ""'s"", 'taste', '.', 'for', 'e-book', 'readers', '(', 'like', 'myself', ')', ',', 'its', 'an', 'awesome', 'grab', '.']","['device', 'is', 'overall', 'solid', 'smooth', 'experience', 'amazing', 'ui', 'just', 'a', 'little', 'bigger', 'for', 'some', 'people', ""'s"", 'taste', 'for', 'e-book', 'readers', 'like', 'myself', 'its', 'an', 'awesome', 'grab']","['device', 'overall', 'solid', 'smooth', 'experience', 'amazing', 'ui', 'little', 'bigger', 'people', ""'s"", 'taste', 'e-book', 'readers', 'like', 'awesome', 'grab']","[('device', 'NN'), ('overall', 'JJ'), ('solid', 'JJ'), ('smooth', 'NN'), ('experience', 'NN'), ('amazing', 'VBG'), ('ui', 'JJ'), ('little', 'JJ'), ('bigger', 'JJR'), ('people', 'NNS'), (""'s"", 'POS'), ('taste', 'NN'), ('e-book', 'JJ'), ('readers', 'NNS'), ('like', 'IN'), ('awesome', 'JJ'), ('grab', 'NN')]","[('device', 'n'), ('overall', 'a'), ('solid', 'a'), ('smooth', 'n'), ('experience', 'n'), ('amazing', 'v'), ('ui', 'a'), ('little', 'a'), ('bigger', 'a'), ('people', 'n'), (""'s"", 'n'), ('taste', 'n'), ('e-book', 'a'), ('readers', 'n'), ('like', 'n'), ('awesome', 'a'), ('grab', 'n')]","['device', 'overall', 'solid', 'smooth', 'experience', 'amaze', 'ui', 'little', 'big', 'people', ""'s"", 'taste', 'e-book', 'reader', 'like', 'awesome', 'grab']"
297,5,Very good,"['Very', 'good']",Very good,"['Very', 'good']","['very', 'good']","['very', 'good']",['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
298,5,Very good,"['Very', 'good']",Very good,"['Very', 'good']","['very', 'good']","['very', 'good']",['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
299,5,Best ever phone  at this price,"['Best', 'ever', 'phone', 'at', 'this', 'price']",Best ever phone at this price,"['Best', 'ever', 'phone', 'at', 'this', 'price']","['best', 'ever', 'phone', 'at', 'this', 'price']","['best', 'ever', 'phone', 'at', 'this', 'price']","['best', 'ever', 'phone', 'price']","[('best', 'JJS'), ('ever', 'RB'), ('phone', 'NN'), ('price', 'NN')]","[('best', 'a'), ('ever', 'r'), ('phone', 'n'), ('price', 'n')]","['best', 'ever', 'phone', 'price']"
300,3,Hanging problem and calling problem,"['Hanging', 'problem', 'and', 'calling', 'problem']",Hanging problem and calling problem,"['Hanging', 'problem', 'and', 'calling', 'problem']","['hanging', 'problem', 'and', 'calling', 'problem']","['hanging', 'problem', 'and', 'calling', 'problem']","['hanging', 'problem', 'calling', 'problem']","[('hanging', 'VBG'), ('problem', 'NN'), ('calling', 'VBG'), ('problem', 'NN')]","[('hanging', 'v'), ('problem', 'n'), ('calling', 'v'), ('problem', 'n')]","['hang', 'problem', 'call', 'problem']"
301,4,Good. Dilivary fast. Good service.,"['Good.', 'Dilivary', 'fast.', 'Good', 'service.']",Good. Dilivary fast. Good service.,"['Good', '.', 'Dilivary', 'fast', '.', 'Good', 'service', '.']","['good', '.', 'dilivary', 'fast', '.', 'good', 'service', '.']","['good', 'dilivary', 'fast', 'good', 'service']","['good', 'dilivary', 'fast', 'good', 'service']","[('good', 'JJ'), ('dilivary', 'JJ'), ('fast', 'RB'), ('good', 'JJ'), ('service', 'NN')]","[('good', 'a'), ('dilivary', 'a'), ('fast', 'r'), ('good', 'a'), ('service', 'n')]","['good', 'dilivary', 'fast', 'good', 'service']"
302,5,Nice phone and nice looks,"['Nice', 'phone', 'and', 'nice', 'looks']",Nice phone and nice looks,"['Nice', 'phone', 'and', 'nice', 'looks']","['nice', 'phone', 'and', 'nice', 'looks']","['nice', 'phone', 'and', 'nice', 'looks']","['nice', 'phone', 'nice', 'looks']","[('nice', 'JJ'), ('phone', 'NN'), ('nice', 'JJ'), ('looks', 'NNS')]","[('nice', 'a'), ('phone', 'n'), ('nice', 'a'), ('looks', 'n')]","['nice', 'phone', 'nice', 'look']"
303,5,Forget about Negative reviews. With this price range all is good. I loved big display. Battery backup is truly good with normal usage. Camera is good in daylight. One bad thing is that they give screen guard separately. Instead of that they should give pre-installed.,"['Forget', 'about', 'Negative', 'reviews.', 'With', 'this', 'price', 'range', 'all', 'is', 'good.', 'I', 'loved', 'big', 'display.', 'Battery', 'backup', 'is', 'truly', 'good', 'with', 'normal', 'usage.', 'Camera', 'is', 'good', 'in', 'daylight.', 'One', 'bad', 'thing', 'is', 'that', 'they', 'give', 'screen', 'guard', 'separately.', 'Instead', 'of', 'that', 'they', 'should', 'give', 'pre-installed.']",Forget about Negative reviews. With this price range all is good. I loved big display. Battery backup is truly good with normal usage. Camera is good in daylight. One bad thing is that they give screen guard separately. Instead of that they should give pre-installed.,"['Forget', 'about', 'Negative', 'reviews', '.', 'With', 'this', 'price', 'range', 'all', 'is', 'good', '.', 'I', 'loved', 'big', 'display', '.', 'Battery', 'backup', 'is', 'truly', 'good', 'with', 'normal', 'usage', '.', 'Camera', 'is', 'good', 'in', 'daylight', '.', 'One', 'bad', 'thing', 'is', 'that', 'they', 'give', 'screen', 'guard', 'separately', '.', 'Instead', 'of', 'that', 'they', 'should', 'give', 'pre-installed', '.']","['forget', 'about', 'negative', 'reviews', '.', 'with', 'this', 'price', 'range', 'all', 'is', 'good', '.', 'i', 'loved', 'big', 'display', '.', 'battery', 'backup', 'is', 'truly', 'good', 'with', 'normal', 'usage', '.', 'camera', 'is', 'good', 'in', 'daylight', '.', 'one', 'bad', 'thing', 'is', 'that', 'they', 'give', 'screen', 'guard', 'separately', '.', 'instead', 'of', 'that', 'they', 'should', 'give', 'pre-installed', '.']","['forget', 'about', 'negative', 'reviews', 'with', 'this', 'price', 'range', 'all', 'is', 'good', 'i', 'loved', 'big', 'display', 'battery', 'backup', 'is', 'truly', 'good', 'with', 'normal', 'usage', 'camera', 'is', 'good', 'in', 'daylight', 'one', 'bad', 'thing', 'is', 'that', 'they', 'give', 'screen', 'guard', 'separately', 'instead', 'of', 'that', 'they', 'should', 'give', 'pre-installed']","['forget', 'negative', 'reviews', 'price', 'range', 'good', 'loved', 'big', 'display', 'battery', 'backup', 'truly', 'good', 'normal', 'usage', 'camera', 'good', 'daylight', 'one', 'bad', 'thing', 'give', 'screen', 'guard', 'separately', 'instead', 'give', 'pre-installed']","[('forget', 'VB'), ('negative', 'JJ'), ('reviews', 'NNS'), ('price', 'NN'), ('range', 'NN'), ('good', 'JJ'), ('loved', 'VBD'), ('big', 'JJ'), ('display', 'NN'), ('battery', 'NN'), ('backup', 'NN'), ('truly', 'RB'), ('good', 'JJ'), ('normal', 'JJ'), ('usage', 'NN'), ('camera', 'NN'), ('good', 'JJ'), ('daylight', 'NN'), ('one', 'CD'), ('bad', 'JJ'), ('thing', 'NN'), ('give', 'VBP'), ('screen', 'NN'), ('guard', 'NN'), ('separately', 'RB'), ('instead', 'RB'), ('give', 'VB'), ('pre-installed', 'JJ')]","[('forget', 'v'), ('negative', 'a'), ('reviews', 'n'), ('price', 'n'), ('range', 'n'), ('good', 'a'), ('loved', 'v'), ('big', 'a'), ('display', 'n'), ('battery', 'n'), ('backup', 'n'), ('truly', 'r'), ('good', 'a'), ('normal', 'a'), ('usage', 'n'), ('camera', 'n'), ('good', 'a'), ('daylight', 'n'), ('one', 'n'), ('bad', 'a'), ('thing', 'n'), ('give', 'v'), ('screen', 'n'), ('guard', 'n'), ('separately', 'r'), ('instead', 'r'), ('give', 'v'), ('pre-installed', 'a')]","['forget', 'negative', 'review', 'price', 'range', 'good', 'love', 'big', 'display', 'battery', 'backup', 'truly', 'good', 'normal', 'usage', 'camera', 'good', 'daylight', 'one', 'bad', 'thing', 'give', 'screen', 'guard', 'separately', 'instead', 'give', 'pre-installed']"
304,4,"Don't buy it if you're buying it for camera, unless it is a great phone","['do not', 'buy', 'it', 'if', 'you are', 'buying', 'it', 'for', 'camera,', 'unless', 'it', 'is', 'a', 'great', 'phone']","do not buy it if you are buying it for camera, unless it is a great phone","['do', 'not', 'buy', 'it', 'if', 'you', 'are', 'buying', 'it', 'for', 'camera', ',', 'unless', 'it', 'is', 'a', 'great', 'phone']","['do', 'not', 'buy', 'it', 'if', 'you', 'are', 'buying', 'it', 'for', 'camera', ',', 'unless', 'it', 'is', 'a', 'great', 'phone']","['do', 'not', 'buy', 'it', 'if', 'you', 'are', 'buying', 'it', 'for', 'camera', 'unless', 'it', 'is', 'a', 'great', 'phone']","['buy', 'buying', 'camera', 'unless', 'great', 'phone']","[('buy', 'VB'), ('buying', 'VBG'), ('camera', 'NN'), ('unless', 'IN'), ('great', 'JJ'), ('phone', 'NN')]","[('buy', 'v'), ('buying', 'v'), ('camera', 'n'), ('unless', 'n'), ('great', 'a'), ('phone', 'n')]","['buy', 'buy', 'camera', 'unless', 'great', 'phone']"
305,5,Orginal Ear Phone Required with the Box including Handset for enjoying Music.,"['Orginal', 'Ear', 'Phone', 'Required', 'with', 'the', 'Box', 'including', 'Handset', 'for', 'enjoying', 'Music.']",Orginal Ear Phone Required with the Box including Handset for enjoying Music.,"['Orginal', 'Ear', 'Phone', 'Required', 'with', 'the', 'Box', 'including', 'Handset', 'for', 'enjoying', 'Music', '.']","['orginal', 'ear', 'phone', 'required', 'with', 'the', 'box', 'including', 'handset', 'for', 'enjoying', 'music', '.']","['orginal', 'ear', 'phone', 'required', 'with', 'the', 'box', 'including', 'handset', 'for', 'enjoying', 'music']","['orginal', 'ear', 'phone', 'required', 'box', 'including', 'handset', 'enjoying', 'music']","[('orginal', 'JJ'), ('ear', 'NN'), ('phone', 'NN'), ('required', 'VBN'), ('box', 'NN'), ('including', 'VBG'), ('handset', 'NN'), ('enjoying', 'NN'), ('music', 'NN')]","[('orginal', 'a'), ('ear', 'n'), ('phone', 'n'), ('required', 'v'), ('box', 'n'), ('including', 'v'), ('handset', 'n'), ('enjoying', 'n'), ('music', 'n')]","['orginal', 'ear', 'phone', 'require', 'box', 'include', 'handset', 'enjoying', 'music']"
306,3,Good phone but display must be full hd and processor should be mediatek G70 ,"['Good', 'phone', 'but', 'display', 'must', 'be', 'full', 'hd', 'and', 'processor', 'should', 'be', 'mediatek', 'G70']",Good phone but display must be full hd and processor should be mediatek G70,"['Good', 'phone', 'but', 'display', 'must', 'be', 'full', 'hd', 'and', 'processor', 'should', 'be', 'mediatek', 'G70']","['good', 'phone', 'but', 'display', 'must', 'be', 'full', 'hd', 'and', 'processor', 'should', 'be', 'mediatek', 'g70']","['good', 'phone', 'but', 'display', 'must', 'be', 'full', 'hd', 'and', 'processor', 'should', 'be', 'mediatek', 'g70']","['good', 'phone', 'display', 'must', 'full', 'hd', 'processor', 'mediatek', 'g70']","[('good', 'JJ'), ('phone', 'NN'), ('display', 'NN'), ('must', 'MD'), ('full', 'JJ'), ('hd', 'NN'), ('processor', 'NN'), ('mediatek', 'NN'), ('g70', 'NN')]","[('good', 'a'), ('phone', 'n'), ('display', 'n'), ('must', 'n'), ('full', 'a'), ('hd', 'n'), ('processor', 'n'), ('mediatek', 'n'), ('g70', 'n')]","['good', 'phone', 'display', 'must', 'full', 'hd', 'processor', 'mediatek', 'g70']"
307,5,Super,['Super'],Super,['Super'],['super'],['super'],['super'],"[('super', 'NN')]","[('super', 'n')]",['super']
308,4,Average phone,"['Average', 'phone']",Average phone,"['Average', 'phone']","['average', 'phone']","['average', 'phone']","['average', 'phone']","[('average', 'JJ'), ('phone', 'NN')]","[('average', 'a'), ('phone', 'n')]","['average', 'phone']"
309,5,Very good,"['Very', 'good']",Very good,"['Very', 'good']","['very', 'good']","['very', 'good']",['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
310,5,Value money,"['Value', 'money']",Value money,"['Value', 'money']","['value', 'money']","['value', 'money']","['value', 'money']","[('value', 'NN'), ('money', 'NN')]","[('value', 'n'), ('money', 'n')]","['value', 'money']"
311,5,Amazing...,['Amazing...'],Amazing...,"['Amazing', '...']","['amazing', '...']","['amazing', '...']","['amazing', '...']","[('amazing', 'NN'), ('...', ':')]","[('amazing', 'n'), ('...', 'n')]","['amazing', '...']"
312,1,Mobile Not Working Properly . Very very Hanging Problem,"['Mobile', 'Not', 'Working', 'Properly', '.', 'Very', 'very', 'Hanging', 'Problem']",Mobile Not Working Properly . Very very Hanging Problem,"['Mobile', 'Not', 'Working', 'Properly', '.', 'Very', 'very', 'Hanging', 'Problem']","['mobile', 'not', 'working', 'properly', '.', 'very', 'very', 'hanging', 'problem']","['mobile', 'not', 'working', 'properly', 'very', 'very', 'hanging', 'problem']","['mobile', 'working', 'properly', 'hanging', 'problem']","[('mobile', 'JJ'), ('working', 'VBG'), ('properly', 'RB'), ('hanging', 'VBG'), ('problem', 'NN')]","[('mobile', 'a'), ('working', 'v'), ('properly', 'r'), ('hanging', 'v'), ('problem', 'n')]","['mobile', 'work', 'properly', 'hang', 'problem']"
313,5,Good product money value and beat experience phone made in india,"['Good', 'product', 'money', 'value', 'and', 'beat', 'experience', 'phone', 'made', 'in', 'india']",Good product money value and beat experience phone made in india,"['Good', 'product', 'money', 'value', 'and', 'beat', 'experience', 'phone', 'made', 'in', 'india']","['good', 'product', 'money', 'value', 'and', 'beat', 'experience', 'phone', 'made', 'in', 'india']","['good', 'product', 'money', 'value', 'and', 'beat', 'experience', 'phone', 'made', 'in', 'india']","['good', 'product', 'money', 'value', 'beat', 'experience', 'phone', 'made', 'india']","[('good', 'JJ'), ('product', 'NN'), ('money', 'NN'), ('value', 'NN'), ('beat', 'VBD'), ('experience', 'NN'), ('phone', 'NN'), ('made', 'VBD'), ('india', 'NN')]","[('good', 'a'), ('product', 'n'), ('money', 'n'), ('value', 'n'), ('beat', 'v'), ('experience', 'n'), ('phone', 'n'), ('made', 'v'), ('india', 'n')]","['good', 'product', 'money', 'value', 'beat', 'experience', 'phone', 'make', 'india']"
314,4,Good,['Good'],Good,['Good'],['good'],['good'],['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
315,5,Very good I am writing after 15day of use it 😎😎 awesome smart phone get good,"['Very', 'good', 'I', 'am', 'writing', 'after', '15day', 'of', 'use', 'it', '😎😎', 'awesome', 'smart', 'phone', 'get', 'good']",Very good I am writing after 15day of use it 😎😎 awesome smart phone get good,"['Very', 'good', 'I', 'am', 'writing', 'after', '15day', 'of', 'use', 'it', '😎😎', 'awesome', 'smart', 'phone', 'get', 'good']","['very', 'good', 'i', 'am', 'writing', 'after', '15day', 'of', 'use', 'it', '😎😎', 'awesome', 'smart', 'phone', 'get', 'good']","['very', 'good', 'i', 'am', 'writing', 'after', '15day', 'of', 'use', 'it', '😎😎', 'awesome', 'smart', 'phone', 'get', 'good']","['good', 'writing', '15day', 'use', '😎😎', 'awesome', 'smart', 'phone', 'get', 'good']","[('good', 'JJ'), ('writing', 'VBG'), ('15day', 'CD'), ('use', 'NN'), ('😎😎', 'JJ'), ('awesome', 'JJ'), ('smart', 'NN'), ('phone', 'NN'), ('get', 'VB'), ('good', 'JJ')]","[('good', 'a'), ('writing', 'v'), ('15day', 'n'), ('use', 'n'), ('😎😎', 'a'), ('awesome', 'a'), ('smart', 'n'), ('phone', 'n'), ('get', 'v'), ('good', 'a')]","['good', 'write', '15day', 'use', '😎😎', 'awesome', 'smart', 'phone', 'get', 'good']"
316,5,Good mobile,"['Good', 'mobile']",Good mobile,"['Good', 'mobile']","['good', 'mobile']","['good', 'mobile']","['good', 'mobile']","[('good', 'JJ'), ('mobile', 'NN')]","[('good', 'a'), ('mobile', 'n')]","['good', 'mobile']"
317,5,Dts sound system is fantastic and over all performance is good,"['Dts', 'sound', 'system', 'is', 'fantastic', 'and', 'over', 'all', 'performance', 'is', 'good']",Dts sound system is fantastic and over all performance is good,"['Dts', 'sound', 'system', 'is', 'fantastic', 'and', 'over', 'all', 'performance', 'is', 'good']","['dts', 'sound', 'system', 'is', 'fantastic', 'and', 'over', 'all', 'performance', 'is', 'good']","['dts', 'sound', 'system', 'is', 'fantastic', 'and', 'over', 'all', 'performance', 'is', 'good']","['dts', 'sound', 'system', 'fantastic', 'performance', 'good']","[('dts', 'NN'), ('sound', 'NN'), ('system', 'NN'), ('fantastic', 'JJ'), ('performance', 'NN'), ('good', 'NN')]","[('dts', 'n'), ('sound', 'n'), ('system', 'n'), ('fantastic', 'a'), ('performance', 'n'), ('good', 'n')]","['dts', 'sound', 'system', 'fantastic', 'performance', 'good']"
318,3,FIRST USE.,"['FIRST', 'USE.']",FIRST USE.,"['FIRST', 'USE', '.']","['first', 'use', '.']","['first', 'use']","['first', 'use']","[('first', 'RB'), ('use', 'NN')]","[('first', 'r'), ('use', 'n')]","['first', 'use']"
319,5,Sound is awesome,"['Sound', 'is', 'awesome']",Sound is awesome,"['Sound', 'is', 'awesome']","['sound', 'is', 'awesome']","['sound', 'is', 'awesome']","['sound', 'awesome']","[('sound', 'JJ'), ('awesome', 'NN')]","[('sound', 'a'), ('awesome', 'n')]","['sound', 'awesome']"
